model,horizon_day,accuracy,precision,recall,f1_score,cohens_kappa,auc_roc,false_alarm_rate,missed_event_rate,tn,fp,fn,tp
LSTM,1,0.8753462603878116,0.5303030303030303,0.7142857142857143,0.6086956521739131,0.5364795845578794,0.8419675562532707,0.0993589743586559,0.2857142857084548,281,31,14,35
LSTM,2,0.8781163434903048,0.5384615384615384,0.7142857142857143,0.6140350877192983,0.5433532658693652,0.8427524856096285,0.09615384615353798,0.2857142857084548,282,30,14,35
LSTM,3,0.8781163434903048,0.5373134328358209,0.7346938775510204,0.6206896551724138,0.5501557632398754,0.8437336473050758,0.0993589743586559,0.2653061224435652,281,31,13,36
LSTM,4,0.8753462603878116,0.5294117647058824,0.7346938775510204,0.6153846153846154,0.5433334270373598,0.8434720041862899,0.10256410256377384,0.2653061224435652,280,32,13,36
LSTM,5,0.8725761772853186,0.5223880597014925,0.7142857142857143,0.603448275862069,0.529708297932597,0.8422291993720565,0.10256410256377384,0.2857142857084548,280,32,14,35
LSTM,6,0.8698060941828255,0.5142857142857142,0.7346938775510204,0.6050420168067226,0.5299869802487603,0.8403976975405547,0.1089743589740097,0.2653061224435652,278,34,13,36
LSTM,7,0.8698060941828255,0.5142857142857142,0.7346938775510204,0.6050420168067226,0.5299869802487603,0.8389586603872318,0.1089743589740097,0.2653061224435652,278,34,13,36
LSTM,8,0.8698060941828255,0.5142857142857142,0.7346938775510204,0.6050420168067226,0.5299869802487603,0.8368001046572475,0.1089743589740097,0.2653061224435652,278,34,13,36
LSTM,9,0.8753462603878116,0.5303030303030303,0.7142857142857143,0.6086956521739131,0.5364795845578794,0.8356227106227105,0.0993589743586559,0.2857142857084548,281,31,14,35
LSTM,10,0.8781163434903048,0.5384615384615384,0.7142857142857143,0.6140350877192983,0.5433532658693652,0.836603872318158,0.09615384615353798,0.2857142857084548,282,30,14,35
LSTM,11,0.8781163434903048,0.5303030303030303,0.7291666666666666,0.6140350877192983,0.5437991843299443,0.8501730564430244,0.09904153354600946,0.270833333327691,282,31,13,35
LSTM,12,0.8808864265927978,0.5303030303030303,0.7446808510638298,0.6194690265486725,0.5512157044146984,0.8638704431494783,0.09872611464936712,0.2553191489307379,283,31,12,35
LSTM,13,0.8808864265927978,0.5303030303030303,0.7446808510638298,0.6194690265486725,0.5512157044146984,0.8651578804716086,0.09872611464936712,0.2553191489307379,283,31,12,35
LSTM,14,0.8919667590027701,0.5625,0.7659574468085106,0.6486486486486487,0.5865805314931728,0.8673261959615123,0.089171974522009,0.23404255318650974,286,28,11,36
