model,horizon_day,accuracy,precision,recall,f1_score,cohens_kappa,auc_roc,false_alarm_rate,missed_event_rate,tn,fp,fn,tp
GRU,1,0.8781163434903048,0.5373134328358209,0.7346938775510204,0.6206896551724138,0.5501557632398754,0.8451072736787023,0.0993589743586559,0.2653061224435652,281,31,13,36
GRU,2,0.8808864265927978,0.5454545454545454,0.7346938775510204,0.6260869565217392,0.5570804919108625,0.8464154892726321,0.09615384615353798,0.2653061224435652,282,30,13,36
GRU,3,0.8781163434903048,0.5373134328358209,0.7346938775510204,0.6206896551724138,0.5501557632398754,0.8460230245944532,0.0993589743586559,0.2653061224435652,281,31,13,36
GRU,4,0.8836565096952909,0.5555555555555556,0.7142857142857143,0.625,0.5574172456068656,0.846546310832025,0.08974358974330211,0.2857142857084548,284,28,14,35
GRU,5,0.8808864265927978,0.546875,0.7142857142857143,0.6194690265486725,0.5503316821644796,0.8457613814756673,0.09294871794842004,0.2857142857084548,283,29,14,35
GRU,6,0.8753462603878116,0.5303030303030303,0.7142857142857143,0.6086956521739131,0.5364795845578794,0.8444531658817372,0.0993589743586559,0.2857142857084548,281,31,14,35
GRU,7,0.8725761772853186,0.5223880597014925,0.7142857142857143,0.603448275862069,0.529708297932597,0.8404631083202512,0.10256410256377384,0.2857142857084548,280,32,14,35
GRU,8,0.8753462603878116,0.5303030303030303,0.7142857142857143,0.6086956521739131,0.5364795845578794,0.8375850340136054,0.0993589743586559,0.2857142857084548,281,31,14,35
GRU,9,0.8753462603878116,0.5303030303030303,0.7142857142857143,0.6086956521739131,0.5364795845578794,0.8367346938775512,0.0993589743586559,0.2857142857084548,281,31,14,35
GRU,10,0.8753462603878116,0.5303030303030303,0.7142857142857143,0.6086956521739131,0.5364795845578794,0.8347069597069596,0.0993589743586559,0.2857142857084548,281,31,14,35
GRU,11,0.8725761772853186,0.5151515151515151,0.7083333333333334,0.5964912280701754,0.523062783617669,0.8493743343982961,0.10223642172491298,0.2916666666605903,281,32,14,34
GRU,12,0.8781163434903048,0.5230769230769231,0.723404255319149,0.6071428571428571,0.5372064565002039,0.8649546008944302,0.09872611464936712,0.27659574467496606,283,31,13,34
GRU,13,0.8808864265927978,0.53125,0.723404255319149,0.6126126126126126,0.5441785347232418,0.8646158015991326,0.09554140127358109,0.27659574467496606,284,30,13,34
GRU,14,0.8781163434903048,0.5230769230769231,0.723404255319149,0.6071428571428571,0.5372064565002039,0.8644125220219541,0.09872611464936712,0.27659574467496606,283,31,13,34
